,smiles,ligEfficiency
231,CC([NH3+])C1CCC(C(=O)NC2CCCC2)CC1,3.364494117647059
30,CNCCCCNC(=O)C1CCC(C(C)[NH3+])CC1,3.3489555555555555
195,CCNCCCNC(=O)C1CCC(C(C)[NH3+])CC1,3.3322555555555557
77,CC([NH3+])C1CCC(C(=O)NC2CCCC2)CC1,3.299005882352941
227,CCCCCNC(=O)C1CCC(C(C)[NH3+])CC1,3.2607588235294114
36,CC([NH3+])C1CCC(C(=O)NCC(C)(C)O)CC1,3.257505882352941
202,CCCCCNC(=O)C1CCC(C(C)[NH3+])CC1,3.2310882352941177
27,CCCCCNC(=O)C1CCC(C(C)[NH3+])CC1,3.227105882352941
17,CCCCCNC(=O)C1CCC(C(C)[NH3+])CC1,3.2110529411764706
174,CCCCCNC(=O)C1CCC(C(C)[NH3+])CC1,3.1982470588235294
66,CC([NH3+])C1CCC(C(=O)NCC2CCC2)CC1,3.194282352941176
80,CC([NH3+])C1CCC(C(=O)NC2CCCC2C)CC1,3.1788166666666666
61,CC([NH3+])C1CCC(C(=O)NCC2CCOC2)CC1,3.157455555555556
192,CC([NH3+])C1CCC(C(=O)NCC2CCOC2)CC1,3.1528722222222223
181,CCCCCNC(=O)C1CCC(C(C)[NH3+])CC1,3.1500529411764706
82,CC([NH3+])C1CCC(C(=O)NCC(C)(C)O)CC1,3.1475235294117647
183,CC([NH3+])C1CCC(C(=O)NCC(C)(C)O)CC1,3.1273176470588235
161,CCCNCCNC(=O)C1CCC(C(C)[NH3+])CC1,3.1241166666666667
42,CC(CO)NC(=O)C1CCC(C(C)[NH3+])CC1,3.11205625
120,CC(CCO)NC(=O)C1CCC(C(C)[NH3+])CC1,3.1120529411764704
0,CC([NH3+])C1CCC(C(=O)NCC2CNCS2)CC1,3.1108277777777777
154,CC([NH3+])C1CCC(C(=O)NCC(C)C(C)O)CC1,3.094161111111111
44,CC([NH3+])C1CCC(C(=O)NCCO)CC1,3.0812666666666666
63,CC([NH3+])C1CCC(C(=O)NCC(C)(C)O)CC1,3.079941176470588
13,CC([NH3+])C1CCC(C(=O)NCCNN)CC1,3.07721875
113,CC([NH3+])C1CCC(C(=O)NC2CCSC2)CC1,3.076405882352941
156,CCCNCCNC(=O)C1CCC(C(C)[NH3+])CC1,3.0643166666666666
106,CCCNCCNC(=O)C1CCC(C(C)[NH3+])CC1,3.054988888888889
169,CC(CCO)NC(=O)C1CCC(C(C)[NH3+])CC1,3.040564705882353
164,CCCNCCNC(=O)C1CCC(C(C)[NH3+])CC1,3.0338833333333337
7,CC([NH3+])C1CCC(C(=O)NCC(C)C(C)O)CC1,3.0298666666666665
58,CC([NH3+])C1CCC(C(=O)NC2COC2C)CC1,3.0226823529411764
155,CC([NH3+])C1CCC(C(=O)NCCNN)CC1,3.021975
94,CCNCCNC(=O)C1CCC(C(C)[NH3+])CC1,3.0180470588235297
163,CC([NH3+])C1CCC(C(=O)NC2CCCCC2)CC1,3.017888888888889
178,CC([NH3+])C1CCC(C(=O)NCC(C)(C)O)CC1,3.013629411764706
85,CCCNCCNC(=O)C1CCC(C(C)[NH3+])CC1,3.0106111111111113
230,CCCNCCNC(=O)C1CCC(C(C)[NH3+])CC1,3.009161111111111
236,CC([NH3+])C1CCC(C(=O)NC2CCCCC2)CC1,2.999588888888889
20,CC([NH3+])C1CCC(C(=O)NCCCCO)CC1,2.9880235294117647
196,CC(CCO)NC(=O)C1CCC(C(C)[NH3+])CC1,2.983941176470588
185,CCC(CC)NC(=O)C1CCC(C(C)[NH3+])CC1,2.982794117647059
68,CNCNCNC(=O)C1CCC(C(C)[NH3+])CC1,2.9821941176470586
37,CC([NH3+])C1CCC(C(=O)NCCCCO)CC1,2.975994117647059
88,CC([NH3+])C1CCC(C(=O)NCCC2(C)CC2)CC1,2.9756555555555555
211,CC([NH3+])C1CCC(C(=O)NCC2CCCC2)CC1,2.9737333333333336
99,CC(O)C(=S)NC(=O)C1CCC(C(C)[NH3+])CC1,2.9705882352941178
165,CCNCCNC(=O)C1CCC(C(C)[NH3+])CC1,2.968747058823529
122,CC([NH3+])C1CCC(C(=O)NC2CCNC2)CC1,2.9655705882352943
189,CC([NH3+])C1CCC(C(=O)NCCCCO)CC1,2.963311764705882
239,CC([NH3+])C1CCC(C(=O)NCCCCO)CC1,2.954170588235294
31,CC([NH3+])C1CCC(C(=O)NCCC2(C)CC2)CC1,2.9520666666666666
198,Cc1cccc(CNC(=O)C2CCC(C(C)[NH3+])CC2)c1,2.9411449999999997
83,CCCNCCNC(=O)C1CCC(C(C)[NH3+])CC1,2.9402833333333334
210,CC([NH3+])C1CCC(C(=O)NCCCCO)CC1,2.937417647058824
103,CCC(=S)NC(=O)C1CCC(C(C)[NH3+])CC1,2.9367125
15,CNC(=O)CCNC(=O)C1CCC(C(C)[NH3+])CC1,2.93365
237,CCCNCCNC(=O)C1CCC(C(C)[NH3+])CC1,2.9336
51,CCCNC(=O)C1CCC(C(C)[NH3+])CC1,2.9310400000000003
172,CCCCCCNC(=O)C1CCC(C(C)[NH3+])CC1,2.9275555555555552
212,Cc1ncccc1CNC(=O)C1CCC(C(C)[NH3+])CC1,2.92564
203,CNCC(C)CNC(=O)C1CCC(C(C)[NH3+])CC1,2.925088888888889
153,CC([NH3+])C1CCC(C(=O)NCCCCO)CC1,2.9190176470588236
213,CCC(CO)NC(=O)C1CCC(C(C)[NH3+])CC1,2.915094117647059
